Home,Visitor
KC,BAL
PHI,GB
CHI,TEN
CIN,NE
BUF,ARI
IND,HOU
MIA,JAX
ATL,PIT
NYG,MIN
NO,CAR
LAC,LV
SEA,DEN
CLE,DAL
TB,WAS
DET,LA
SF,NYJ
MIA,BUF
WAS,NYG
DAL,NO
JAX,CLE
DET,TB
GB,IND
CAR,LAC
NE,SEA
BAL,LV
TEN,NYJ
MIN,SF
ARI,LA
DEN,PIT
KC,CIN
HOU,CHI
PHI,ATL
NYJ,NE
CLE,NYG
TB,DEN
IND,CHI
NO,PHI
PIT,LAC
TEN,GB
MIN,HOU
LV,CAR
SEA,MIA
ARI,DET
DAL,BAL
LA,SF
ATL,KC
BUF,JAX
CIN,WAS
NYG,DAL
CHI,LA
TB,PHI
IND,PIT
ATL,NO
NYJ,DEN
GB,MIN
CAR,CIN
HOU,JAX
ARI,WAS
SF,NE
LAC,KC
LV,CLE
BAL,BUF
MIA,TEN
DET,SEA
ATL,TB
MIN,NYJ
CHI,CAR
CIN,BAL
WAS,CLE
JAX,IND
NE,MIA
HOU,BUF
DEN,LV
SF,ARI
LA,GB
SEA,NYG
PIT,DAL
KC,NO
SEA,SF
CHI,JAX
PHI,CLE
GB,ARI
NE,HOU
BAL,WAS
NO,TB
TEN,IND
DEN,LAC
LV,PIT
DAL,DET
CAR,ATL
NYG,CIN
NYJ,BUF
NO,DEN
JAX,NE
BUF,TEN
CLE,CIN
IND,MIA
ATL,SEA
NYG,PHI
GB,HOU
MIN,DET
WAS,CAR
LA,LV
SF,KC
PIT,NYJ
TB,BAL
ARI,LAC
LA,MIN
CLE,BAL
TB,ATL
WAS,CHI
MIA,ARI
JAX,GB
DET,TEN
NE,NYJ
HOU,IND
LAC,NO
SEA,BUF
CIN,PHI
DEN,CAR
LV,KC
SF,DAL
PIT,NYG
NYJ,HOU
CIN,LV
BUF,MIA
CLE,LAC
ATL,DAL
NYG,WAS
CAR,NO
BAL,DEN
TEN,NE
MIN,IND
ARI,CHI
GB,DET
SEA,LA
PHI,JAX
KC,TB
BAL,CIN
CAR,NYG
CHI,NE
TB,SF
KC,DEN
IND,BUF
WAS,PIT
JAX,MIN
NO,ATL
LAC,TEN
ARI,NYJ
DAL,PHI
HOU,DET
LA,MIA
PHI,WAS
CHI,GB
MIA,LV
DET,JAX
NE,LA
NO,CLE
PIT,BAL
TEN,MIN
DEN,ATL
SF,SEA
BUF,KC
LAC,CIN
NYJ,IND
DAL,HOU
CLE,PIT
CHI,MIN
IND,DET
WAS,DAL
MIA,NE
NYG,TB
CAR,KC
HOU,TEN
LV,DEN
GB,SF
SEA,ARI
LA,PHI
LAC,BAL
DET,CHI
DAL,NYG
GB,MIA
KC,LV
CIN,PIT
WAS,TEN
ATL,LAC
JAX,HOU
NYJ,SEA
NE,IND
MIN,ARI
CAR,TB
NO,LA
BAL,PHI
BUF,SF
DEN,CLE
DET,GB
TB,LV
MIA,NYJ
PHI,CAR
NYG,NO
PIT,CLE
TEN,JAX
MIN,ATL
ARI,SEA
SF,CHI
LA,BUF
KC,LAC
DAL,CIN
SF,LA
CLE,KC
NYG,BAL
JAX,NYJ
CAR,DAL
NO,WAS
HOU,MIA
TEN,CIN
DEN,IND
ARI,NE
LAC,TB
PHI,PIT
DET,BUF
SEA,GB
MIN,CHI
LV,ATL
CIN,CLE
KC,HOU
BAL,PIT
CHI,DET
BUF,NE
IND,TEN
WAS,PHI
ATL,NYG
NYJ,LA
CAR,ARI
LAC,DEN
SEA,MIN
MIA,SF
LV,JAX
DAL,TB
GB,NO
PIT,KC
HOU,BAL
CHI,SEA
CIN,DEN
WAS,ATL
NYG,IND
NE,LAC
LA,ARI
BUF,NYJ
TB,CAR
JAX,TEN
NO,LV
MIN,GB
PHI,DAL
CLE,MIA
SF,DET
DEN,KC
TB,NO
ARI,SF
IND,JAX
DAL,WAS
PHI,NYG
ATL,CAR
NYJ,MIA
DET,MIN
GB,CHI
NE,BUF
LV,LAC
LA,SEA
BAL,CLE
PIT,CIN
TEN,HOU
